video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0002,horizontal_shift,flat,8.0,0.21930988719309888,21.930988719309887,2353,348,313,0.7894631649660437,23.505469115747722
0002,horizontal_shift,flat,12.0,0.2163181350702777,21.63181350702777,2286,251,380,0.7803090673990507,22.27466203395933
0002,horizontal_shift,flat,16.0,0.24344569288389514,24.344569288389515,2222,271,444,0.7744994235212812,21.455972297357924
0002,horizontal_shift,flat,24.0,0.27768255056564967,27.768255056564968,2107,251,559,0.7635107020776426,20.142968729844608
0002,horizontal_shift,flat,32.0,0.32207967589466574,32.20796758946658,2008,296,658,0.7587549262912029,19.049795667816436
0002,horizontal_shift,flat,48.0,0.3962648556876061,39.626485568760614,1778,279,888,0.7434818977261084,17.336013511101587
0002,horizontal_shift,flat,64.0,0.4419551934826884,44.19551934826884,1644,280,1022,0.732118532926531,16.035224071420046
0002,identity,anchor_low,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,jpeg,rises,95.0,0.2471571906354515,24.71571906354515,2251,324,415,0.9910141634611818,45.57172821665955
0002,jpeg,rises,90.0,0.30497856907352455,30.497856907352457,2108,367,558,0.985050048013095,43.20540303384749
0002,jpeg,rises,80.0,0.3477970627503338,34.77970627503338,1954,330,712,0.976608956611845,40.77720396509938
0002,jpeg,rises,70.0,0.3863863863863864,38.63863863863864,1839,331,827,0.9708266126418714,39.32627483545021
0002,jpeg,rises,60.0,0.4123989218328841,41.23989218328841,1744,302,922,0.9649116711358896,38.28380532991618
0002,jpeg,rises,50.0,0.43692932025701725,43.69293202570172,1665,291,1001,0.9599273751433007,37.49450664598224
0002,jpeg,rises,40.0,0.48126702997275206,48.1267029972752,1523,270,1143,0.953304709917749,36.73912982626541
0002,jpeg,rises,30.0,0.5329218106995884,53.29218106995884,1362,250,1304,0.9445689928907375,35.68323819547551
0002,jpeg,rises,20.0,0.6054756054756055,60.54756054756055,1124,183,1542,0.9290684429292337,33.85677060095519
0002,jpeg,rises,15.0,0.6448106591865358,64.48106591865358,1013,186,1653,0.9157852958198267,33.16908352412713
0002,jpeg,rises,10.0,0.7569892473118279,75.6989247311828,678,124,1988,0.8917377486590161,31.04535784415049
0002,jpeg,rises,5.0,0.882094470889784,88.2094470889784,322,65,2344,0.850467519928015,25.661079026171045
0002,occlusion_patch,rises,0.0,0.04252199413489736,4.252199413489736,2612,62,54,0.9999812250477307,75.30052297763643
0002,occlusion_patch,rises,0.02,0.10739942528735633,10.739942528735632,2485,118,181,0.9970365892375421,37.864625893886824
0002,occlusion_patch,rises,0.05,0.13612004287245444,13.612004287245444,2418,133,248,0.9938981689806341,33.36717543499974
0002,occlusion_patch,rises,0.1,0.15646017699115045,15.646017699115045,2383,159,283,0.986499347895215,29.481056161515323
0002,occlusion_patch,rises,0.15,0.1994391868208903,19.94391868208903,2284,187,382,0.975957319525581,26.778080673148636
0002,occlusion_patch,rises,0.2,0.2607329842931937,26.07329842931937,2118,199,548,0.9647555627483929,24.767129947951894
0002,occlusion_patch,rises,0.3,0.37582265327329406,37.58226532732941,1802,221,864,0.9433435395899537,21.844698479174284
0002,occlusion_patch,rises,0.4,0.5327556325823224,53.27556325823224,1348,219,1318,0.9183924080667967,19.71643979940813
0002,occlusion_patch,rises,0.5,0.6767926527728718,67.67926527728719,915,165,1751,0.892018388176329,18.222874221144863
0002,occlusion_patch,rises,0.6,0.7943185904350953,79.43185904350953,572,115,2094,0.8610946280568497,17.096199798871474
0002,scramble,anchor_high,1.0,0.9772896500372301,97.728965003723,61,20,2605,0.558052880872818,11.628877732075196
0002,vertical_shift,rises,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,vertical_shift,rises,0.5,0.30523255813953487,30.523255813953487,2151,430,515,0.9809380994572048,38.747541999339916
0002,vertical_shift,rises,1.0,0.2151815181518152,21.51815181518152,2378,364,288,0.9331056684198957,32.773030168238535
0002,vertical_shift,rises,1.5,0.3314028314028314,33.14028314028314,2078,442,588,0.9090445053602383,31.127077737004583
0002,vertical_shift,rises,2.0,0.2890598862495818,28.90598862495818,2125,323,541,0.8677561904549538,28.94076114442395
0002,vertical_shift,rises,2.5,0.4325024279702169,43.250242797021684,1753,423,913,0.8590488322873306,28.423043129579337
